episode,reward,loss
0,-307.1892142706506,
1,-452.545041196112,
2,-319.76233644229717,
3,-117.257425354748,
4,-344.1550998944773,
5,-143.43071636430534,
6,-133.7217876056012,
7,-128.38711860557416,
8,-229.17240554896588,
9,-285.9765097561959,
10,-312.4917050083136,
11,-198.6923850646291,
12,-121.00592847802027,
13,-121.25646430848552,
14,-73.44956253258023,
15,-117.30980527401421,
16,-108.16993316156734,
17,-51.12877427510095,
18,-365.52288063807157,
19,-171.9533935014842,
20,-211.8421441349508,
21,-138.42687469853203,
22,-238.1625023201485,
23,-321.5792401418887,
24,-129.59105990568992,
25,-234.6262983937794,
26,-538.0966361908494,
27,-412.02161984905257,
28,-533.6558705999445,
29,-521.966987593489,
30,-470.82953782819,
31,-311.3267374212514,
32,-395.23827546625563,
33,-167.8911214110775,
34,-476.6444644848259,
35,-347.1492001706307,
36,-248.9216695656699,
37,-270.3865651636936,
38,-458.3299903087401,
39,-582.985884479459,
40,-464.11660828314683,
41,-551.7315258817315,
42,-575.1692329875607,
43,-159.79404792485929,
44,-717.8368436313676,
45,-313.59809819577333,
46,-294.17429181802635,
47,-286.4538568157379,
48,-585.5650504636997,
49,-762.1894173820974,
50,-531.8613643483951,
51,-987.0364802177344,
52,-493.35476634307514,
53,-606.5324428920234,
54,-606.5672518550034,
55,-848.8657447523208,
56,-581.7967857947258,
57,-556.1481614696374,
58,-521.5052461417807,
59,-419.94386769642125,
60,-440.39487574624127,
61,-640.1109962348019,
62,-531.3454118079994,
63,-261.22693139561284,
64,-449.52423276604395,
65,-563.9913406284368,
66,-661.4720071545593,
67,-868.8375536350935,
68,-1960.2599138185724,
69,-524.0894363316934,
70,-730.6476996850619,
71,-423.0821399555014,
72,-643.7394444844041,
73,-1025.9414421837553,
74,-294.31925407712447,
75,-339.2834185319442,
76,-430.3708641701365,
77,-394.54050136768353,
78,-347.6069207475903,
79,-722.3811405394785,
80,-173.77090667394242,
81,-682.0898200772291,
82,-989.5807630016207,
83,-744.5231927963715,
84,-484.87939346240313,
85,-210.83764593793933,
86,-587.5307578065301,
87,-491.194920025152,
88,-532.2256728522315,
89,-742.8072274267984,
90,-586.3369436872988,
91,-731.176320564607,
92,-493.04532459855477,
93,-735.0669797285101,
94,-734.6711171813413,
95,-679.2452215947308,
96,-613.863441251466,
97,-672.5377676333935,
98,-569.2485725046281,
99,-480.9615015673214,
100,-607.675153336917,
101,-493.18492798777834,
102,-526.7307358303035,
103,-698.6437387431199,
104,-680.8233749543206,
105,-471.94249725162655,
106,-674.818365958618,
107,-870.3753547490003,
108,-637.6726006194745,
109,-784.4144945781783,
110,-703.1949265092844,
111,-643.5363209149956,
112,-734.8919635339238,
113,-754.0580390150077,
114,-562.970794150044,
115,-744.4471325986217,
116,-484.2535828414096,
117,-684.672755634007,
118,-485.97056936792563,
119,-532.9353353195397,
120,-587.1252116083974,
121,-764.8429866724038,
122,-533.9193007366748,
123,-577.2312600307018,
124,-428.00124072231375,
125,-332.0587878644503,
126,-600.5913713564853,
127,-449.00701780235903,
128,-593.2080613029893,
129,-400.9290548543726,
130,-706.5774079171094,
131,-660.709524107242,
132,-404.49521966607784,
133,-759.9439006177595,
134,-351.7034977089596,
135,-542.9736456287587,
136,-731.4432662219959,
137,-342.1906711844476,
138,-541.9351772472286,
139,-427.0951250954866,
140,-599.6656518188018,
141,-572.2775516754203,
142,-685.1528415683782,
143,-318.8256052123171,
144,-836.8377242703768,
145,-442.0157058899538,
146,-581.8600121284278,
147,-887.0851818996821,
148,-608.7153366657965,
149,-773.567391020619,
150,-469.2219633309635,
151,-1151.2875806578027,
152,-842.4722311170893,
153,-397.4391300933188,
154,-718.382635773541,
155,-796.6896272899425,
156,-759.5095268544655,
157,-508.97045234556845,
158,-721.8658374435761,
159,-531.097956295072,
160,-392.02336588605345,
161,-492.7059819075871,
162,-496.6595336818733,
163,-676.9054495018245,
164,-398.8059659304542,
165,-404.5092861077769,
166,-415.5185017280711,
167,-438.9811320033982,
168,-492.0612615363805,
169,-796.8707558839186,
170,-721.2118052216587,
171,-958.6817659011327,
172,-586.7893384508907,
173,-588.3736339253137,
174,-608.3884022270884,
175,-509.36098342008154,
176,-616.4170562196288,
177,-727.207705403885,
178,-730.3359572230112,
179,-395.9301885521855,
180,-490.9792252387,
181,-463.6367706450193,
182,-454.66156895590694,
183,-661.692572601459,
184,-406.7401840540172,
185,-451.64553400408437,
186,-689.5023452160364,
187,-459.07919527672476,
188,-512.7236596335392,
189,-770.8638719833679,
190,-415.5334805368606,
191,-466.8143873370557,
192,-496.4709710916724,
193,-689.856822723643,
194,-590.9324722067413,
195,-1041.5223103632093,
196,-584.2904754409742,
197,-534.4534512894479,
198,-365.75333040781334,
199,-437.53974321946896,
200,-888.3174997326751,
201,-708.0289188209885,
202,-453.458017584999,
203,-555.8021271343832,
204,-872.4759405838432,
205,-459.07000104566913,
206,-850.2804956546709,
207,-916.9155075570134,
208,-514.1846681299123,
209,-873.1056909672749,
210,-990.9977044396536,
211,-733.66250142164,
212,-523.1372844400637,
213,-627.5614666949267,
214,-1420.80884981783,
215,-447.211974157213,
216,-522.2067420430928,
217,-630.6574380277256,
218,-564.0733876270428,
219,-526.1243509958485,
220,-515.0666553653116,
221,-539.8042061599158,
222,-1184.8053417993312,
223,-770.471092427756,
224,-1899.564211983939,
225,-567.3339615558757,
226,-1913.4194893776048,
227,-408.9875866120291,
228,-928.0041163982114,
229,-1287.8071074372783,
230,-894.8226812705179,
231,-390.26148997611006,
232,-1175.541759322833,
233,-2445.9897477185277,
234,-501.8568567954427,
235,-537.0222960035902,
236,-408.18845499946656,
237,-628.4435858535019,
238,-684.1906482403227,
239,-583.8512088740854,
240,-875.5093862614042,
241,-1430.9971033539111,
242,-848.9189051757419,
243,-830.0460315155492,
244,-630.0447873039828,
245,-267.9715564114141,
