episode,reward,loss
0,-307.1892142706506,
1,-454.8969002745429,
2,-319.76233644229717,
3,-118.15590489630122,
4,-79.00590561842594,
5,-229.87784682350565,
6,-93.86515829386617,
7,-75.47593201559259,
8,-219.52671113944993,
9,-215.63813001038193,
10,-154.93630772639108,
11,-82.13789996950152,
12,-117.21280717018823,
13,-86.35886814526174,
14,-114.11679605203636,
15,-414.93068702857477,
16,-227.37838208406652,
17,-238.14983988837108,
18,-96.75997261828691,
19,-92.96011305478007,
20,-108.52112882470114,
21,-118.80174133593395,
22,-297.9945013820694,
23,-100.68736636146437,
24,-104.94332170879557,
25,-231.14415718111366,
26,-80.58097214855093,
27,-163.54692207064002,
28,-150.63632902646432,
29,-112.20867171204259,
30,-96.6807652646362,
31,-86.61343700978054,
32,-143.1246980494497,
33,-131.10470805774747,
34,-73.2598726408983,
35,-77.21633300123383,
36,-86.02641291653758,
37,-89.55237421662844,
38,-114.50316816543315,
39,-191.32958249679174,
40,-140.55950930067416,
41,-221.60425768541018,
42,-418.4510695880431,
43,-107.07568425497445,
44,-181.67347399326195,
45,-155.87350136485355,
46,-119.24051721169879,
47,-77.87562175628872,
48,-66.19651736902648,
49,-134.9941096075297,
50,-124.53735310155423,
51,-110.74298903457196,
52,-96.24212128519486,
53,-94.46755911759264,
54,-96.60096196767677,
55,-118.57829588952146,
56,-281.7329927383021,
57,-116.57914784432131,
58,-125.45225193473225,
59,-64.69209215452246,
60,-194.5072256106078,
61,-194.92286519866542,
62,-219.11192389840778,
63,-93.82481220112699,
64,-104.34224940475018,
65,-82.07896711605,
66,-245.07271879806632,
67,-88.61766300323531,
68,-10.7567290710235,
69,-151.27661336500472,
70,-91.15383793775402,
71,-128.80999924993017,
72,-362.24533336768593,
73,-85.06255782380396,
74,-121.76935534656543,
75,-173.0473420748337,
76,-285.08643240678094,
77,-162.77736674643668,
78,-408.69813042385005,
79,-104.21945402295947,
80,-105.51633377582468,
81,-168.74895827946867,
82,-149.97509802892955,
83,-74.45354860285417,
84,-87.46705436015444,
85,-76.81520275165695,
86,-182.6993658584944,
87,-112.39575655867642,
88,-305.61378867664337,
89,-365.91076093954257,
90,-114.83916208880748,
91,-162.58187191797134,
92,-25.90698048113157,
93,-80.78432988136453,
94,-77.78201614670543,
95,-300.01964382324235,
96,-379.36866242402556,
97,-141.16882180251247,
98,-150.40642017190729,
99,-266.06731888366204,
100,-111.59009774590318,
101,-133.4128314395207,
102,-104.23802421190707,
103,-125.42894349990581,
104,-125.54326676344449,
105,-140.89333929296583,
106,-303.9800871659844,
107,-82.44870300144333,
108,-67.07181514849731,
109,-55.38620606342849,
110,-93.46345465485477,
111,-234.74684903979093,
112,-188.64578760145534,
113,-175.61279850307906,
114,-141.6609499348541,
115,-112.35337848933251,
116,-134.99280539912024,
117,-199.55658465616477,
118,-107.75533470577544,
119,-191.30007801708717,
120,-163.96935342831503,
121,78.3780552718005,
122,-124.49949867849475,
123,-97.68326827397313,
124,-118.82987184493348,
125,-246.53559200140234,
126,-100.6305063042225,
127,-206.0536197929943,
128,-119.92019046276093,
129,-82.22796555239854,
130,-217.03760923960024,
131,-279.1205861781978,
132,-157.52061294404737,
133,-136.8607070914275,
134,-116.29466218668264,
135,-132.031961927731,
136,-110.98602771939476,
137,-92.32246132367972,
138,-109.02918589175727,
139,-116.63749752102443,
140,-82.0995206719698,
141,-200.2368524424503,
142,-66.61332041289613,
143,-70.46158248982555,
144,-110.01549630090764,
145,-116.78099468884368,
146,-182.80194574521263,
147,-182.67730839396066,
148,-139.88650976303953,
149,-113.31459757191448,
150,-380.0949182564448,
151,-80.87102096711854,
152,-224.7972472378173,
153,-67.08496955376704,
154,-143.54169004763128,
155,-167.26342853874849,
156,-174.35856384341656,
157,-92.18446580485177,
158,-65.98802614917125,
159,-116.39985770725886,
160,-229.29871422152212,
161,-114.07935063618295,
162,-165.0157191576402,
163,-170.92536938282643,
164,-234.9278983806826,
165,-138.53135672431083,
166,-81.62133421466986,
167,-88.86876768224612,
168,-144.22224796200953,
169,-119.04982727237153,
170,-231.1530671930074,
171,-93.11686850262312,
172,-118.73842559381733,
173,-136.30544832032112,
174,-92.83999628473934,
175,-169.82427821841495,
176,-364.0594535501523,
177,-200.1093726290576,
178,-191.24059304418273,
179,-130.30112958273017,
180,-99.45303946632346,
181,-189.81652639623118,
182,-230.87312657336716,
183,-181.68013313902148,
184,-183.3704462536993,
185,-425.3116089499189,
186,-65.61902019223525,
187,-12.057015774896769,
188,-151.80088213004979,
189,-205.36186092783873,
190,-146.4062077755991,
191,-63.714253520867246,
192,-148.01592355109238,
193,-194.04980958345112,
194,-141.17564166806645,
195,-106.28599148687368,
196,-311.13062247934124,
197,-84.98628106565674,
198,-103.18683934796759,
199,-154.20803633851557,
200,-119.22717789911886,
201,-71.32403739960179,
202,-62.81717433292261,
203,-193.15082590410057,
204,-219.4315340311503,
205,-170.90830998502764,
206,-76.40209264094142,
207,-92.96113637953482,
208,-154.69704655015255,
209,-137.74479645728255,
210,-134.65088330729947,
211,-91.16731783452715,
212,-317.3286129624745,
213,-154.22821234654262,
214,-236.82349099328155,
215,-386.50227492611003,
216,-106.34000172204563,
217,-354.58139931839776,
218,-139.74596540868373,
219,-326.08904003959265,
220,-70.46856446272585,
221,-81.83972751481507,
222,-90.13000838909161,
223,-108.6384903873811,
224,-167.7685805909706,
225,-300.1424858646574,
226,-117.66495471708824,
227,-29.677269134597864,
228,-164.30853703789592,
229,-316.39004138861605,
230,-29.690020845969656,
231,-317.2903537101243,
232,-33.665882424515104,
233,-208.95681691668574,
234,-201.19216708947076,
